X,Y,Dist,bottom,surface
-160765.9588740999,-2210992.8094833964,2633.8750065667937,404.22672418773055,1266.4556896338297
-160804.40310747173,-2210910.5251434622,2724.698282655304,407.86324638713796,1264.1764927742759
-160844.42435124755,-2210828.9969744217,2815.521558743814,406.0845293513121,1261.5851384341204
-160886.46934560817,-2210748.4955856767,2906.344834832324,416.6777077196833,1258.8426741792257
-160930.9913886677,-2210669.3384851045,2997.1681109208344,435.0672724911082,1257.2240410732404
-160978.05984530575,-2210591.66809053,3087.991387009344,449.76949156631395,1256.6768520730814
-161027.58282806716,-2210515.5390539733,3178.8146630978545,462.4998690441107,1255.8004383325208
-161079.33371579082,-2210440.90598878,3269.6379391863647,463.50723395526563,1254.5772339552657
-161133.01338270443,-2210367.647488993,3360.4612152748746,461.88959854947757,1252.967945264495
-161188.51212933584,-2210295.75646435,3451.284491363385,458.6009146381893,1250.3725369768513
-161245.93269530026,-2210225.3906683126,3542.107767451895,453.1103621673311,1247.4915224651618
-161305.1254470946,-2210156.509198713,3632.931043540405,447.8726299556885,1244.5776151203415
-161365.85224605448,-2210088.9757631402,3723.7543196289153,449.54695930340927,1243.5130406965907
-161428.06142278336,-2210022.804460538,3814.5775957174255,450.6175317935804,1241.9644952003307
-161491.58843356752,-2209957.897337244,3905.4008718059354,459.6410994089686,1239.7525488950275
-161556.29900894547,-2209894.170369955,3996.2241478944457,476.83373285795994,1238.5572511349517
-161622.224023465,-2209831.700154924,4087.047423982956,486.86571809126065,1237.877171981576
-161689.1889194452,-2209770.3458643737,4177.870700071466,489.822607302806,1236.7884107225589
-161757.3560059969,-2209710.329916506,4268.693976159976,492.9858728337912,1236.7231529167707
-161826.63730252293,-2209651.6033527795,4359.517252248486,496.0466185151447,1237.9147213199076
-161897.0680144777,-2209594.2611125843,4450.340528336997,498.55233318519953,1237.4235635379143
-161968.4619400931,-2209538.123130111,4541.163804425506,501.4535883380023,1237.0932592380004
-162040.9564588324,-2209483.414073554,4631.987080514016,504.4026014569758,1235.561365322993
-162114.49995104288,-2209430.1227167924,4722.810356602527,507.72608069639955,1234.2653296082754
-162189.1823025517,-2209378.44071104,4813.633632691037,516.5947462813423,1233.525615946514
-162264.92067089022,-2209328.318334279,4904.456908779547,487.02857421687224,1233.2394953676928
-162341.7677242,-2209279.914013534,4995.280184868057,448.9915810797255,1232.5764018320106
-162419.56269811443,-2209233.0470397845,5086.103460956567,435.5585974893589,1229.9251810146272
-162498.47752268027,-2209188.0927689997,5176.926737045077,422.65070396731886,1227.5112323517446
-162578.39371364663,-2209144.9428220284,5267.750013133587,410.54510024504356,1225.23114943656
-162659.43483922194,-2209103.9463581415,5358.573289222098,398.7951856279248,1223.103132126899
-162741.54953782557,-2209065.14486997,5449.396565310608,389.21674041765107,1220.7762394307852
-162824.71427398353,-2209028.649190781,5540.219841399118,380.94386169385496,1217.9123458018992
-162908.76586389827,-2208994.243203243,5631.043117487628,351.82848557673384,1214.6181273451587
-162993.608183697,-2208961.8357625674,5721.866393576138,340.7383996912453,1214.0382767818828
-163079.06123642507,-2208931.0744507993,5812.689669664648,329.63137529451507,1213.8233552592558
-163165.09933341263,-2208901.9877930293,5903.512945753158,316.55432184947506,1210.9334523900582
-163251.67613151585,-2208874.5453529116,5994.336221841669,303.67180693885865,1210.3059710241573
-163338.7039172132,-2208848.5714448392,6085.159497930178,283.651106329757,1209.2898718710271
-163426.18951081028,-2208824.184067121,6175.982774018688,247.96759837333994,1206.9617724214384
-163514.12791860732,-2208801.4865187407,6266.806050107199,135.15426754537629,1202.1827354735674
-163602.51893793535,-2208780.6151203015,6357.629326195709,39.11651306589431,1204.136036891937
-163691.26909281078,-2208761.330883513,6448.452602284219,38.30876112038142,1203.8087611203814
-163780.3775938856,-2208743.7722917716,6539.2758783727295,42.60172362158001,1202.6130939414472
-163869.80090607997,-2208727.899336502,6630.099154461239,51.21094339171851,1201.5184852516372
-163959.46965179942,-2208713.4767252384,6720.922430549749,69.02478763639306,1200.6241751520784
-164049.34991974419,-2208700.4312853543,6811.745706638259,110.0299747118923,1204.308411714621
-164139.37202744378,-2208688.4031623765,6902.56898272677,125.31846143919535,1203.7088964455636
-164229.52461128443,-2208677.39029536,6993.39225881528,134.5403240550873,1202.429536142504
-164319.7441023273,-2208666.9405074357,7084.21553490379,139.84915671808145,1200.997423205904
-164410.01520516924,-2208656.943788892,7175.0388109923,142.68393552506475,1199.5656386849612
-164500.32276430068,-2208647.284042716,7265.86208708081,149.79586490608833,1203.1587672275082
-164590.64200785808,-2208637.732129757,7356.68536316932,153.9247558294,1202.01407254789
-164680.99609293044,-2208628.5177463875,7447.5086392578305,158.27253946766052,1201.036292719417
-164771.37276169955,-2208619.5274096713,7538.331915346341,160.98099921206096,1195.1071715561427
-164861.77060962588,-2208610.747021972,7629.155191434851,168.50869476785056,1197.7167420044857
-164952.17793840705,-2208602.0680796714,7719.97846752336,174.36732341628525,1193.1700466264674
-165042.60772541887,-2208593.6296099164,7810.801743611871,179.20121239723622,1192.027015844099
-165133.03866266672,-2208585.203473392,7901.625019700381,187.95892433535002,1190.7794276332916
-165223.46702691447,-2208576.7498137276,7992.448295788891,216.95889059070933,1187.9142181677605
-165313.89519219004,-2208568.2939618784,8083.271571877402,256.8357303459604,1184.2782292138384
-165404.3282760314,-2208559.8907273063,8174.094847965912,248.98922418124576,1179.2048626844198
-165494.77143254114,-2208551.5950240847,8264.918124054422,226.81390035811,1179.3753580873577
-165585.23513112194,-2208543.5238531954,8355.741400142932,200.06799754098756,1173.983674467908
